date,sku_code,store_id,units_sold,revenue
2026-04-01,SKU-KEYBOARD,1,25,112475.0
2026-04-01,SKU-MONITOR,1,10,249990.0
2026-04-01,SKU-KEYBOARD,2,20,89980.0
2026-04-01,SKU-MONITOR,2,11,274989.0
2026-04-02,SKU-KEYBOARD,1,22,98978.0
2026-04-02,SKU-MONITOR,1,10,249990.0
2026-04-02,SKU-KEYBOARD,2,23,103477.0
2026-04-02,SKU-MONITOR,2,10,249990.0
2026-04-03,SKU-KEYBOARD,1,29,130471.0
2026-04-03,SKU-MONITOR,1,15,374985.0
2026-04-03,SKU-KEYBOARD,2,21,94479.0
2026-04-03,SKU-MONITOR,2,9,224991.0
2026-04-04,SKU-KEYBOARD,1,32,143968.0
2026-04-04,SKU-MONITOR,1,9,224991.0
2026-04-04,SKU-KEYBOARD,2,16,71984.0
2026-04-04,SKU-MONITOR,2,9,224991.0
2026-04-05,SKU-KEYBOARD,1,27,121473.0
2026-04-05,SKU-MONITOR,1,15,374985.0
2026-04-05,SKU-KEYBOARD,2,19,85481.0
2026-04-05,SKU-MONITOR,2,7,174993.0
2026-04-06,SKU-KEYBOARD,1,29,130471.0
2026-04-06,SKU-MONITOR,1,10,249990.0
2026-04-06,SKU-KEYBOARD,2,17,76483.0
2026-04-06,SKU-MONITOR,2,4,99996.0
2026-04-07,SKU-KEYBOARD,1,21,94479.0
2026-04-07,SKU-MONITOR,1,11,274989.0
2026-04-07,SKU-KEYBOARD,2,12,53988.0
2026-04-07,SKU-MONITOR,2,9,224991.0
2026-04-08,SKU-KEYBOARD,1,21,94479.0
2026-04-08,SKU-MONITOR,1,10,249990.0
2026-04-08,SKU-KEYBOARD,2,15,67485.0
2026-04-08,SKU-MONITOR,2,12,299988.0
2026-04-09,SKU-KEYBOARD,1,23,103477.0
2026-04-09,SKU-MONITOR,1,8,199992.0
2026-04-09,SKU-KEYBOARD,2,20,89980.0
2026-04-09,SKU-MONITOR,2,5,124995.0
2026-04-10,SKU-KEYBOARD,1,32,143968.0
2026-04-10,SKU-MONITOR,1,9,224991.0
2026-04-10,SKU-KEYBOARD,2,18,80982.0
2026-04-10,SKU-MONITOR,2,11,274989.0
2026-04-11,SKU-KEYBOARD,1,34,152966.0
2026-04-11,SKU-MONITOR,1,14,349986.0
2026-04-11,SKU-KEYBOARD,2,22,98978.0
2026-04-11,SKU-MONITOR,2,10,249990.0
2026-04-12,SKU-KEYBOARD,1,25,112475.0
2026-04-12,SKU-MONITOR,1,12,299988.0
2026-04-12,SKU-KEYBOARD,2,21,94479.0
2026-04-12,SKU-MONITOR,2,13,324987.0
