date,sku_code,store_id,units_sold,revenue
2026-07-01,SKU-KEYBOARD,1,27,121473.0
2026-07-01,SKU-MONITOR,1,11,274989.0
2026-07-01,SKU-KEYBOARD,2,21,94479.0
2026-07-01,SKU-MONITOR,2,12,299988.0
2026-07-02,SKU-KEYBOARD,1,24,107976.0
2026-07-02,SKU-MONITOR,1,11,274989.0
2026-07-02,SKU-KEYBOARD,2,25,112475.0
2026-07-02,SKU-MONITOR,2,10,249990.0
2026-07-03,SKU-KEYBOARD,1,32,143968.0
2026-07-03,SKU-MONITOR,1,17,424983.0
2026-07-03,SKU-KEYBOARD,2,23,103477.0
2026-07-03,SKU-MONITOR,2,10,249990.0
2026-07-04,SKU-KEYBOARD,1,35,157465.0
2026-07-04,SKU-MONITOR,1,11,274989.0
2026-07-04,SKU-KEYBOARD,2,18,80982.0
2026-07-04,SKU-MONITOR,2,10,249990.0
2026-07-05,SKU-KEYBOARD,1,30,134970.0
2026-07-05,SKU-MONITOR,1,16,399984.0
2026-07-05,SKU-KEYBOARD,2,22,98978.0
2026-07-05,SKU-MONITOR,2,8,199992.0
2026-07-06,SKU-KEYBOARD,1,31,139469.0
2026-07-06,SKU-MONITOR,1,11,274989.0
2026-07-06,SKU-KEYBOARD,2,19,85481.0
2026-07-06,SKU-MONITOR,2,5,124995.0
2026-07-07,SKU-KEYBOARD,1,23,103477.0
2026-07-07,SKU-MONITOR,1,12,299988.0
2026-07-07,SKU-KEYBOARD,2,14,62986.0
2026-07-07,SKU-MONITOR,2,9,224991.0
2026-07-08,SKU-KEYBOARD,1,23,103477.0
2026-07-08,SKU-MONITOR,1,11,274989.0
2026-07-08,SKU-KEYBOARD,2,16,71984.0
2026-07-08,SKU-MONITOR,2,13,324987.0
2026-07-09,SKU-KEYBOARD,1,25,112475.0
2026-07-09,SKU-MONITOR,1,9,224991.0
2026-07-09,SKU-KEYBOARD,2,22,98978.0
2026-07-09,SKU-MONITOR,2,5,124995.0
2026-07-10,SKU-KEYBOARD,1,35,157465.0
2026-07-10,SKU-MONITOR,1,11,274989.0
2026-07-10,SKU-KEYBOARD,2,20,89980.0
2026-07-10,SKU-MONITOR,2,12,299988.0
2026-07-11,SKU-KEYBOARD,1,37,166463.0
2026-07-11,SKU-MONITOR,1,16,399984.0
2026-07-11,SKU-KEYBOARD,2,25,112475.0
2026-07-11,SKU-MONITOR,2,11,274989.0
2026-07-12,SKU-KEYBOARD,1,28,125972.0
2026-07-12,SKU-MONITOR,1,14,349986.0
2026-07-12,SKU-KEYBOARD,2,23,103477.0
2026-07-12,SKU-MONITOR,2,14,349986.0
2026-07-13,SKU-KEYBOARD,1,27,121473.0
2026-07-13,SKU-MONITOR,1,7,174993.0
2026-07-13,SKU-KEYBOARD,2,20,89980.0
2026-07-13,SKU-MONITOR,2,8,199992.0
2026-07-14,SKU-KEYBOARD,1,23,103477.0
2026-07-14,SKU-MONITOR,1,13,324987.0
2026-07-14,SKU-KEYBOARD,2,23,103477.0
2026-07-14,SKU-MONITOR,2,11,274989.0
2026-07-15,SKU-KEYBOARD,1,22,98978.0
2026-07-15,SKU-MONITOR,1,11,274989.0
2026-07-15,SKU-KEYBOARD,2,20,89980.0
2026-07-15,SKU-MONITOR,2,11,274989.0
2026-07-16,SKU-KEYBOARD,1,23,103477.0
2026-07-16,SKU-MONITOR,1,11,274989.0
2026-07-16,SKU-KEYBOARD,2,14,62986.0
2026-07-16,SKU-MONITOR,2,6,149994.0
2026-07-17,SKU-KEYBOARD,1,37,166463.0
2026-07-17,SKU-MONITOR,1,19,474981.0
2026-07-17,SKU-KEYBOARD,2,25,112475.0
2026-07-17,SKU-MONITOR,2,14,349986.0
2026-07-18,SKU-KEYBOARD,1,36,161964.0
2026-07-18,SKU-MONITOR,1,14,349986.0
2026-07-18,SKU-KEYBOARD,2,27,121473.0
2026-07-18,SKU-MONITOR,2,15,374985.0
2026-07-19,SKU-KEYBOARD,1,34,152966.0
2026-07-19,SKU-MONITOR,1,19,474981.0
2026-07-19,SKU-KEYBOARD,2,15,67485.0
2026-07-19,SKU-MONITOR,2,14,349986.0
2026-07-20,SKU-KEYBOARD,1,26,116974.0
2026-07-20,SKU-MONITOR,1,11,274989.0
2026-07-20,SKU-KEYBOARD,2,19,85481.0
2026-07-20,SKU-MONITOR,2,4,99996.0
2026-07-21,SKU-KEYBOARD,1,24,107976.0
2026-07-21,SKU-MONITOR,1,12,299988.0
2026-07-21,SKU-KEYBOARD,2,25,112475.0
2026-07-21,SKU-MONITOR,2,7,174993.0
2026-07-22,SKU-KEYBOARD,1,22,98978.0
2026-07-22,SKU-MONITOR,1,10,249990.0
2026-07-22,SKU-KEYBOARD,2,22,98978.0
2026-07-22,SKU-MONITOR,2,9,224991.0
2026-07-23,SKU-KEYBOARD,1,23,103477.0
2026-07-23,SKU-MONITOR,1,13,324987.0
2026-07-23,SKU-KEYBOARD,2,19,85481.0
2026-07-23,SKU-MONITOR,2,11,274989.0
2026-07-24,SKU-KEYBOARD,1,31,139469.0
2026-07-24,SKU-MONITOR,1,15,374985.0
2026-07-24,SKU-KEYBOARD,2,24,107976.0
2026-07-24,SKU-MONITOR,2,8,199992.0
2026-07-25,SKU-KEYBOARD,1,35,157465.0
2026-07-25,SKU-MONITOR,1,16,399984.0
2026-07-25,SKU-KEYBOARD,2,25,112475.0
2026-07-25,SKU-MONITOR,2,11,274989.0
2026-07-26,SKU-KEYBOARD,1,37,166463.0
2026-07-26,SKU-MONITOR,1,18,449982.0
2026-07-26,SKU-KEYBOARD,2,30,134970.0
2026-07-26,SKU-MONITOR,2,12,299988.0
2026-07-27,SKU-KEYBOARD,1,31,139469.0
2026-07-27,SKU-MONITOR,1,15,374985.0
2026-07-27,SKU-KEYBOARD,2,31,139469.0
2026-07-27,SKU-MONITOR,2,11,274989.0
2026-07-28,SKU-KEYBOARD,1,33,148467.0
2026-07-28,SKU-MONITOR,1,14,349986.0
2026-07-28,SKU-KEYBOARD,2,16,71984.0
2026-07-28,SKU-MONITOR,2,11,274989.0
2026-07-29,SKU-KEYBOARD,1,32,143968.0
2026-07-29,SKU-MONITOR,1,21,524979.0
2026-07-29,SKU-KEYBOARD,2,23,103477.0
2026-07-29,SKU-MONITOR,2,11,274989.0
